siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
351232491,ADYM,226146,4893.0,2016,0,AMBIGU,False,AMBIGU
319224515,TEINTURERIE BLANCHISSERIE GALILEE,316054,52339.0,2023,0,PRESSING,False,PRESSING
304555691,PRESSING LE MAROIS,394615,28374.0,2016,0,PRESSING,False,PRESSING
444196968,AP SERVICE,122960,26459.0,2024,0,AMBIGU,False,AMBIGU
502322373,FEDHINET,59494,206.0,2024,0,AMBIGU,False,AMBIGU
794718569,EPICES ET A,333482,22443.0,2024,0,AMBIGU,False,AMBIGU
799546114,PRESSING SOLEIL,78668,13784.0,2022,0,PRESSING,False,PRESSING
837535012,LATOUR 66,38714,26037.0,2020,0,AMBIGU,False,AMBIGU
498002831,PRESSING DU CENTRE,124943,-34734.0,2020,0,PRESSING,False,PRESSING
800808578,VLG NET,196703,-8768.0,2024,0,AMBIGU,False,AMBIGU
434468492,EUROSOFT,405085,43906.0,2021,0,AMBIGU,True,LS_PROBABLE
503455172,MANON PRESSING,91040,9298.0,2020,0,PRESSING,True,PRESSING
793617614,BOULLE,118421,-6785.0,2024,0,AMBIGU,False,AMBIGU
534694799,C'CHIC PRESSING,23588,-3560.0,2020,0,PRESSING,False,PRESSING
750582876,AMETIS,68461,-66649.0,2020,0,AMBIGU,False,AMBIGU
903188894,VERGAN PRESSING,85357,1619.0,2023,0,PRESSING,False,PRESSING
538982190,PRESSING NDC,125243,2456.0,2014,0,PRESSING,False,PRESSING
301273280,PRESSING SERVICE,253064,-7110.0,2016,0,PRESSING,False,PRESSING
397786047,LAGOA,119233,5851.0,2023,0,AMBIGU,False,AMBIGU
512246042,NAKAR PROPRETE,38683,10709.0,2023,0,AMBIGU,False,AMBIGU
542017843,LAVERIE AUTOMATIQUE DE SAINT-OUEN,259986,22414.0,2022,0,LS_PURE,False,LS_PURE
825087679,BRISSON PRESSING,287212,-72597.0,2017,0,PRESSING,False,PRESSING
389219916,LA PAIX DISTRIBUTION,89143,-1532.0,2024,0,AMBIGU,False,AMBIGU
440930345,LAVERIE LAUMIERE,22519,3340.0,2024,0,LS_PURE,False,LS_PURE
453954950,DELUX NET PRESSING,79057,-11948.0,2018,0,PRESSING,False,PRESSING
882417769,ENEO LAVERIE,127339,31658.0,2024,0,LS_PURE,False,LS_PURE
977849231,LSLA,28057,-8387.0,2024,0,AMBIGU,True,LS_PROBABLE
301309936,SOC LES PRESSINGS ACTUELS,129629,1482.0,2019,0,PRESSING,False,PRESSING
840494348,HUAN BI,30883,-20614.0,2020,0,AMBIGU,False,AMBIGU
552127870,LAV PRESS DE LA NATION,14400,3675.0,2022,0,LS_MIXTE,False,LS_MIXTE
539015735,SDJ,138226,21788.0,2021,0,AMBIGU,True,LS_PROBABLE
752827618,TIDOU,410232,26588.0,2016,0,AMBIGU,True,LS_PROBABLE
423478882,RIQUET PRESSING,109548,56.0,2023,0,PRESSING,True,PRESSING
