siren,nom,annee,chiffre_affaires,resultat,marge_brute,excedent_brut_exploitation,resultat_exploitation,marge_nette,taux_marge_EBITDA,taux_marge_operationnelle,dettes_financieres,tresorerie,capacite_autofinancement,valeur_ajoutee,salaires_charges_sociales,BFR,ratio_endettement,autonomie_financiere,rentabilite_economique,rentabilite_fonds_propres,effectif
732067897,NORD DE PARIS SERVICES,2020,121328,-18015,123904,-17165,-18015,-14.8,-14.1,-14.8,2631,14480,-17165,21945,36774,-37332,-0.9,23.7,-30.8,-130,
732067897,NORD DE PARIS SERVICES,2019,153095,17838,153552,18677,17843,11.7,12.2,11.7,2631,26157,18672,63703,41859,-31142,-0.7,45.3,25.3,56,
732067897,NORD DE PARIS SERVICES,2018,135449,-9645,137514,-8813,-9360,-7.1,-6.5,-6.9,2631,7633,-9098,53877,60316,-31292,-0.4,25.8,-17.8,-68.7,
732067897,NORD DE PARIS SERVICES,2017,138503,-13864,137828,-13864,-13864,-10,-10,-10,2631,18725,-13864,56252,66898,-29624,-0.7,39,-22.9,-58.6,3
732067897,NORD DE PARIS SERVICES,2016,0,0,0,0,0,,,,,0,0,0,0,0,,,,,0
801869488,DAMARO SELF SERVICES,2024,30910,-16029,30942,-6032,-14308,-51.9,-19.5,-46.3,0,390,-7754,-4644,,-41385,0,46.3,-17.3,-37.4,
801869488,DAMARO SELF SERVICES,2023,39402,91232,39403,4772,-2538,231.5,12.1,-6.4,31,6747,98541,6260,,-39787,-0.1,56.6,87.6,154.9,
801869488,DAMARO SELF SERVICES,2022,17164,-9532,17219,-3426,-9539,-55.5,-20,-55.6,0,10506,-3419,-2148,,-112226,0.3,-39.7,-11.7,29.5,
801869488,DAMARO SELF SERVICES,2021,16239,-2844,16239,2001,-4113,-17.5,12.3,-25.3,,13330,3269,2523,,-108878,0.6,-26,-3.3,12.5,
801869488,DAMARO SELF SERVICES,2020,6357,-18994,10839,-4520,-10618,-298.8,-71.1,-167,,11451,-12896,-8310,,-110268,0.6,-21.6,-20.6,95.3,
801869488,DAMARO SELF SERVICES,2018,10692,-5025,10693,-3604,-7337,-47,-33.7,-68.6,44404,3287,-1292,-2861,,-2336,-9.3,-9.8,-11.2,113.9,
801869488,DAMARO SELF SERVICES,2017,19085,-9655,19086,-3091,-6291,-50.6,-16.2,-33,41425,1911,-6455,-2536,,-2648,64.6,1.3,-20.3,-1577.6,
801869488,DAMARO SELF SERVICES,2016,16521,60,16522,2383,823,0.4,14.4,5,10255,1034,1620,2592,,-11199,0.9,31.6,0.2,0.6,
801869488,DAMARO SELF SERVICES,2015,24442,3289,24442,5612,3850,13.5,23,15.8,,1036,5052,6073,,-23076,-0.1,29.3,9.4,32.2,
801869488,DAMARO SELF SERVICES,2014,16592,1918,16592,3577,2256,11.6,21.6,13.6,,666,3239,4109,,-27759,-0.1,19.7,5.5,27.7,
444147953,SELAC,2020,392794,23949,385795,47203,28408,6.1,12,7.2,15260,33771,42744,75280,12145,-20362,-0.1,85.7,6,7,
444147953,SELAC,2019,468429,49336,461962,89501,63389,10.5,19.1,13.5,16878,44827,75448,118053,12214,-36993,-0.1,79,11,14,
444147953,SELAC,2018,472911,61314,475919,95425,75504,13,20.2,16,39218,57872,88256,124272,12043,-43241,-0.1,75.3,13,17.3,
444147953,SELAC,2017,473143,65318,,,,,,,61133,53821,,,,-43494,0,72.8,,,
444147953,SELAC,2016,497592,76651,501434,125455,105359,15.4,25.2,21.2,109752,54084,106888,152573,10420,-54145,0.2,61.7,15.1,24.5,
444147953,SELAC,2015,504584,80659,499957,144938,112897,16,28.7,22.4,172980,44678,114737,171607,9158,-35999,0.5,53.2,15.8,29.8,
