siren,nom_orig,nom_pappers,objet_social,code_naf,libelle_naf,forme_juridique,date_creation,entreprise_cessee,date_cessation,adresse_ligne_1,complement_adresse,code_postal,ville,latitude,longitude,enseigne,nom_commercial,siret_siege,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,classification_finale,source_classification
523608271,SARL NATALIA,SARL NATALIA,"Pressing, blanchisserie, retouches, vêtements, dépôt relais colis.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2010-07-02,False,,24 AVENUE MATHURIN MOREAU,,75019,PARIS,48.87823299980184,2.373552000002595,,,52360827100012,1,1,False,,PRESSING,A4_reclass
417896404,PB INVEST,PB INVEST,Pressing blanchisserie,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1998-03-01,False,,96 RUE SAINT-CHARLES,,75015,PARIS,48.845822999801854,2.284660000002962,,,41789640400171,8,17,True,Redressement judiciaire,PRESSING,A4_reclass
329416234,MULTISER LAFENESTRE,MULTISER LAFENESTRE,"LAVERIE, LIBRE SERVICE, PRESSING",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",1984-03-19,False,,3 RUE DU DOCTEUR GOUJON,,75012,PARIS,48.83989199980183,2.397709000002494,LAV' CLUB,,32941623400022,1,2,False,,MIXTE,A4_reclass
815347307,GW2,GW2,Pressing et conciergerie.,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",2016-01-01,False,,137 RUE HOUDAN,,92330,SCEAUX,48.77893999980184,2.2827930000029664,AQUALOGIA,,81534730700028,1,2,True,Redressement judiciaire,PRESSING,A4_reclass
404860900,S M N,S M N,"PRESSING TEINTURERIE CONCERNANT TOUS VETEMENTS TAPIS, TOUTES PRESTATIONS DE SERVICES LIEES A CETTE ACTIVITE",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1996-03-06,False,,30 RUE GREUZE,,75016,PARIS,48.86439399980182,2.2826430000029716,PRESSING DES SABLONS,PRESSING DES SABLONS,40486090000012,1,1,True,Liquidation judiciaire,PRESSING,A4_reclass
534290952,SALIBA,SALIBA,"Pressing, blanchisserie",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-08-23,False,,108 AVENUE LEDRU-ROLLIN,,75011,PARIS,48.85255599980184,2.377043000002579,HARMONY,,53429095200017,1,1,False,,PRESSING,A4_reclass
819289539,AC CLEAN,AC CLEAN,"Pressing, nettoyage de tous textiles et sous toutes ses formes, laverie rapide, repassage, retouches des vêtements.",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2016-03-15,False,,90 B RUE DE MONTREUIL,,75011,PARIS,48.85066399980184,2.394978000002506,O'PRESSING,,81928953900010,1,1,False,,MIXTE,A4_reclass
532491602,OZVERI,OZVERI,"Pressing, retouche et accessoires s'y rapportant",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-05-16,False,,12 B RUE DE L'ETOILE,,75017,PARIS,48.87717999980184,2.295707000002918,,,53249160200027,1,2,False,,PRESSING,A4_reclass
503246738,SUPERCLEAN,SUPERCLEAN,Blanchisserie-teinturerie de détail,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2008-02-28,False,,204 RUE DE BELLEVILLE,N°204 AU 206,75020,PARIS,48.875155999801834,2.3949190000025062,CLEAN DISCOUNT PRESSING,CLEAN DISCOUNT PRESSING,50324673800028,1,2,False,,PRESSING,A4_reclass
572150159,SOCIETE AMSEC,SOCIETE AMSEC,Exploitation de toutes entreprises de blanchisseries Teinturerienettoyage et pressing ainsi que toutes opérations s'y rattachant,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1957-01-01,False,,36 RUE DE RIVOLI,,75004,PARIS,48.85634199980184,2.3568450000026635,,,57215015900018,1,1,False,,PRESSING,A4_reclass
